web-scraper-order,web-scraper-start-url,Daftar singgah di canggu,Daftar singgah di canggu-href,Nama vila,Lokasi,Ratting,Fasilitas,Nilai Kebersihan,Nilai Keakuratan,Nilai Check in,Nilai Komunikasi,Nilai Lokasi,Nilai ekonomis,Harga,Minimum menginap,Source_Location,Daftar sinngah dibingin,Daftar sinngah dibingin-href,daftar singgah di jimbaran,daftar singgah di jimbaran-href,Daftar singgah di ungasan,Daftar singgah di ungasan-href,daftar singgah di sidemen dan kintamani,daftar singgah di sidemen dan kintamani-href,daftar singgah di uluwatu,daftar singgah di uluwatu-href,Daftar singgah di pererenan,Daftar singgah di pererenan-href,Daftar singgah di seminyak,Daftar singgah di seminyak-href,Daftar singgah diubud,Daftar singgah diubud-href,daftar singgah di nusa dua,daftar singgah di nusa dua-href
1750279954-1,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1101893877784981390?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044504933&source_impression_id=p3_1750279922_P3SPTNYaqjWIbPFC&previous_page_section_name=1000,Canggu Poolside: Zen & Serenity Room,"Kecamatan Kuta Utara, Bali, Indonesia",4.83,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.8,4.6,4.8,¥ 4.855,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750279974-2,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1161234420294177804?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044505764&source_impression_id=p3_1750279922_P3WkFs4cJap6emVC&previous_page_section_name=1000,Vila Canggu Cerah & Lapang Dengan Kolam Renang & Atap,"Kuta Utara, Bali, Indonesia",4.9,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 4 kamar mandi,4.9,4.9,5.0,4.9,4.8,4.8,¥ 27.219,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750279994-3,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/41939525?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044506944&source_impression_id=p3_1750279922_P3-VBtbapJwyIjgY&previous_page_section_name=1000,Central Canggu Relaxing Room dengan Kolam renang & Wi - Fi Cepat,"Kuta Utara, Bali, Indonesia",4.76,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.8,4.9,4.7,¥ 7.790,untuk 2 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280015-4,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1145267685363332985?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044507554&source_impression_id=p3_1750279922_P3pFHa6q1b2RmyvA&previous_page_section_name=1000,Panorama Padi: Guesthouse Nyaman dengan Kolam Renang di Canggu,"Canggu South Kuta, Bali, Indonesia",4.81,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.9,4.9,4.8,4.8,4.8,¥ 4.103,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280035-5,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/35013366?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044512189&source_impression_id=p3_1750279922_P3Z5LteHutA_CFEg&previous_page_section_name=1000,Vila Cerah & Laidback dengan Kolam renang pribadi di Canggu,"Kabupaten Badung, Bali, Indonesia",4.78,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.7,4.8,4.9,4.9,4.6,4.8,¥ 16.112,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280055-6,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1211195182227864578?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044513076&source_impression_id=p3_1750279922_P32Kgv_Rea9ZPec7&previous_page_section_name=1000,Serendipity in Mengwi Guesthouse: 10 menit ke Canggu,"Kecamatan Mengwi, Bali, Indonesia",4.75,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.9,4.8,4.6,4.8,¥ 4.832,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280075-7,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1211211691981765107?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044513261&source_impression_id=p3_1750279922_P3eA6ivh8orRf1iq&previous_page_section_name=1000,Mengwi Guesthouse yang mempesona dengan Oasis Kolam Renang,"Kecamatan Mengwi, Bali, Indonesia",4.66,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.6,4.8,4.9,4.8,4.6,4.7,¥ 3.980,untuk 1 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280095-8,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/53519279?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044514166&source_impression_id=p3_1750279922_P3DHSnYL95VKqp1k&previous_page_section_name=1000,Liburan Backpacker Nyaman di Dekat Tempat - Tempat Semarak di Canggu,"Badung, Bali, Indonesia",4.89,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,5.0,4.8,4.9,4.8,4.8,¥ 7.759,untuk 2 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280115-9,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/877152994086983848?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044514272&source_impression_id=p3_1750279922_P3jZ1rCKKjm2gCti&previous_page_section_name=1000,Canggu Wooden Villa with Pool and Rice Field Views,"Kecamatan Kuta Utara, Bali, Indonesia",4.79,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.8,4.7,4.8,4.6,4.8,¥ 22.387,untuk 2 malam,2. Canggu,,,,,,,,,,,,,,,,,,
1750280135-10,https://www.airbnb.co.id/wishlists/v/1606477197?view_only_token=b4fbb9f1-80d3-46c3-bf61-3f30803410b8&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,https://www.airbnb.co.id/rooms/1246783202978808833?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044517172&source_impression_id=p3_1750279922_P3yHphcznNk5-C2R&previous_page_section_name=1000,Penthouse Trendi Dekat Canggu Dengan Kolam Renang Atap,"Kec. Kuta Utara, Kabupaten Badung, Bali, Indonesia",4.73,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.7,4.8,4.8,4.5,4.7,,,2. Canggu,,,,,,,,,,,,,,,,,,
